"movie_name","boxtot","year","month","ThreeD","Summer"
"Step Brothers",93.284366,2008,7,0,"Summer"
"Step Up",59.13091,2006,8,0,"Summer"
"Step Up 2 the Streets",53.926994,2008,2,0,"Not Summer"
"Step Up 3-D",33.71855,2010,8,0,"Summer"
"Step Up All In",12.96405,2014,8,0,"Summer"
"Step Up Revolution",31.736418,2012,7,1,"Summer"
"Steve Jobs",15.861073,2015,10,0,"Not Summer"
"Stick It",23.193429,2006,4,0,"Summer"
"Still Alice",13.07261,2015,2,0,"Not Summer"
"Stomp the Yard",57.372727,2007,1,0,"Not Summer"
"Stop-Loss",8.923188,2008,3,0,"Not Summer"
"Storks",68.519195,2016,9,1,"Not Summer"
"Straight Outta Compton",159.54813,2015,8,0,"Summer"
"Strange Magic",9.819784,2015,1,0,"Not Summer"
"Stranger Than Fiction",37.705012,2006,11,0,"Not Summer"
"Straw Dogs (2011)",9.641222,2011,9,0,"Not Summer"
"Street Fighter: The Legend of Chun-Li",5.051681,2009,2,0,"Not Summer"
"Street Kings",24.287949,2008,4,0,"Summer"
"Sucker Punch",34.686044,2011,3,0,"Not Summer"
"Suffragette",3.048019,2015,11,0,"Not Summer"
"Suicide Squad",320.347859,2016,8,1,"Summer"
"Sully",119.36389,2016,9,0,"Not Summer"
"Sultan",3.940517,2016,7,0,"Summer"
"Sunshine Cleaning",5.419257,2009,4,0,"Summer"
"Super 8",122.884497,2011,6,0,"Summer"
"Superbad",119.45582,2007,8,0,"Summer"
"Superhero Movie",21.996128,2008,3,0,"Not Summer"
"Superman Returns",182.006455,2006,6,1,"Summer"
"Surf's Up",51.313901,2007,6,0,"Summer"
"Surrogates",36.982954,2009,9,0,"Not Summer"
"Sweeney Todd: The Demon Barber of Fleet Street",45.4248,2007,1,0,"Not Summer"
"Swing Vote",13.550164,2008,8,0,"Summer"
"Sydney White",8.449395,2007,9,0,"Not Summer"
"Take Me Home Tonight",4.618853,2011,3,0,"Not Summer"
"Take the Lead",30.613535,2006,4,0,"Summer"
"Taken",137.871852,2009,1,0,"Not Summer"
"Taken 2",135.202898,2012,10,0,"Not Summer"
"Taken 3",82.728059,2015,1,1,"Not Summer"
"Takers",55.376818,2010,8,0,"Summer"
"Taking Woodstock",4.52566,2009,8,0,"Summer"
"Talladega Nights: The Ballad of Ricky Bobby",143.040578,2006,8,0,"Summer"
"Tammy",79.962705,2014,7,0,"Summer"
"Tangled",187.050224,2010,1,1,"Not Summer"
"Ted",211.521305,2012,6,0,"Summer"
"Ted 2",78.4271,2015,6,0,"Summer"
"Teenage Mutant Ninja Turtles (2014)",187.182309,2014,8,0,"Summer"
"Teenage Mutant Ninja Turtles: Out of the Shadows",78.747502,2016,6,1,"Summer"
"Tenacious D in: The Pick of Destiny",6.107454,2006,11,0,"Not Summer"
"Terminator Salvation",120.455174,2009,5,0,"Summer"
"Terminator: Genisys",86.347541,2015,7,0,"Summer"
"Texas Chainsaw 3D",31.22775,2013,1,1,"Not Summer"
"Thank You for Smoking",13.000434,2006,4,0,"Summer"
"That's My Boy",32.178748,2012,6,0,"Summer"
"That Awkward Moment",22.668542,2014,1,0,"Not Summer"
"The 33",10.536118,2015,11,0,"Not Summer"
"The 5th Wave",30.125191,2016,1,0,"Not Summer"
"The A-Team",74.746183,2010,6,0,"Summer"
"The Accountant",81.783144,2016,10,0,"Not Summer"
"The Adjustment Bureau",56.387965,2011,3,0,"Not Summer"
"The Adventures of Tintin",69.329986,2011,1,1,"Not Summer"
"The Age of Adaline",40.746776,2015,4,0,"Summer"
"The Amazing Spider-Man",256.159253,2012,7,1,"Summer"
"The Amazing Spider-Man 2",196.937194,2014,5,1,"Summer"
"The American",33.710999,2010,9,0,"Not Summer"
"The Angry Birds Movie",104.479793,2016,5,1,"Summer"
"The Ant Bully",20.610757,2006,7,1,"Summer"
"The Artist",38.155023,2012,1,0,"Not Summer"
"The Astronaut Farmer",5.580399,2007,2,0,"Not Summer"
"The Back-Up Plan",36.106456,2010,4,0,"Summer"
"The Bank Job",25.091961,2008,3,0,"Not Summer"
"The Benchwarmers",53.601826,2006,4,0,"Summer"
"The Best Exotic Marigold Hotel",36.755339,2012,5,0,"Summer"
"The Best Man Holiday",67.964005,2013,11,0,"Not Summer"
"The Best of Me",22.557384,2014,10,0,"Not Summer"
"The BFG",49.943057,2016,7,1,"Summer"
"The Big Short",57.900477,2015,1,0,"Not Summer"
"The Big Wedding",20.782042,2013,4,0,"Summer"
"The Big Year",4.319378,2011,10,0,"Not Summer"
"The Birth of a Nation",13.265181,2016,10,0,"Not Summer"
"The Black Dahlia",21.47537,2006,9,0,"Not Summer"
"The Blind Side",239.026369,2009,1,0,"Not Summer"
"The Bling Ring",2.988704,2013,6,0,"Summer"
