"movie_name","boxtot","year","month","ThreeD","Summer"
"The Thing (2011)",15.21775,2011,10,0,"Not Summer"
"The Three Musketeers (2011)",18.490846,2011,10,0,"Not Summer"
"The Three Stooges",39.669015,2012,4,0,"Summer"
"The Time Traveler's Wife",56.728728,2009,8,0,"Summer"
"The Tourist",62.578946,2010,1,0,"Not Summer"
"The Town",88.583857,2010,9,0,"Not Summer"
"The Transporter Refueled",14.580816,2015,9,0,"Not Summer"
"The Twilight Saga: Breaking Dawn Part 1",268.801901,2011,11,0,"Not Summer"
"The Twilight Saga: Breaking Dawn Part 2",281.632689,2012,11,0,"Not Summer"
"The Twilight Saga: Eclipse",293.491146,2010,6,0,"Summer"
"The Twilight Saga: New Moon",288.269091,2009,1,0,"Not Summer"
"The Ugly Truth",84.160222,2009,7,0,"Summer"
"The Unborn (2009)",34.174255,2009,1,0,"Not Summer"
"The Uninvited",19.365763,2009,1,0,"Not Summer"
"The Visit",61.15803,2015,9,0,"Not Summer"
"The Visitor",4.768846,2008,5,0,"Summer"
"The Vow",121.934774,2012,2,0,"Not Summer"
"The Walk",7.974306,2015,10,1,"Not Summer"
"The Warrior's Way",3.565761,2010,12,0,"Not Summer"
"The Watch",31.702825,2012,7,0,"Summer"
"The Water Horse: Legend of the Deep",30.82347,2007,1,0,"Not Summer"
"The Wedding Ringer",60.696393,2015,1,0,"Not Summer"
"The Wicker Man",18.628666,2006,9,0,"Not Summer"
"The Wild",32.091706,2006,4,0,"Summer"
"The Wild Life (2016)",6.785712,2016,9,0,"Not Summer"
"The Witch",21.909083,2016,2,0,"Not Summer"
"The Wizard of Oz (3D/IMAX)",4.523816,2013,9,0,"Not Summer"
"The Wizard of Oz (NCM Fathom Events)",0.91,2009,9,0,"Not Summer"
"The Wolf of Wall Street",108.355838,2013,1,0,"Not Summer"
"The Wolfman",58.809485,2010,2,0,"Not Summer"
